n1,n2,n3,n4,n5,n6
3,7,29,37,41,43
3,7,30,33,34,37
3,8,10,12,21,30
3,8,10,12,21,37
3,8,10,14,20,27
3,8,10,21,28,31
3,8,10,21,31,36
3,8,12,17,34,36
3,8,12,21,30,34
3,8,12,24,32,40
3,8,12,27,32,40
3,8,12,28,30,43
3,8,12,28,40,43
3,8,14,16,20,41
3,8,14,20,35,40
3,8,17,27,32,37
3,8,20,22,28,30
3,8,20,28,30,43
3,8,22,24,27,43
3,8,22,29,30,33
3,8,22,29,33,35
3,8,22,31,32,33
3,8,22,33,40,41
3,8,28,30,32,43
3,8,31,35,37,43
3,8,33,35,37,40
3,10,12,16,20,33
3,10,14,27,32,36
3,10,14,30,31,32
3,10,16,27,32,43
3,10,20,21,35,41
3,10,20,24,36,40
3,10,21,27,29,37
3,10,21,31,33,36
3,10,22,24,32,35
3,10,27,31,34,36
3,10,27,36,40,41
3,10,30,32,34,35
3,12,14,29,35,41
3,12,16,22,27,31
3,12,16,22,31,37
3,12,17,28,35,43
3,12,20,21,27,32
3,12,20,21,35,41
3,12,20,22,28,43
3,12,21,27,30,43
3,12,21,32,34,35
3,12,22,28,31,37
3,12,22,34,35,41
3,12,24,28,29,41
3,12,27,28,30,43
3,12,27,33,34,40
3,12,29,35,41,43
3,14,16,17,24,28
3,14,16,20,33,43
3,14,16,22,24,41
3,14,17,22,24,29
3,14,17,29,37,41
3,14,20,24,28,32
3,14,20,24,29,33
3,14,20,24,29,36
3,14,21,24,31,41
3,14,21,35,36,40
3,14,22,24,34,41
3,14,22,29,36,43
3,14,22,30,32,43
3,14,22,35,37,43
3,14,24,28,32,43
3,14,24,34,36,43
3,14,28,29,30,31
3,14,28,30,33,40
3,14,35,36,37,40
3,16,17,20,27,36
3,16,17,27,28,36
3,16,17,27,36,40
3,16,21,24,28,43
3,16,21,24,33,36
3,16,21,24,36,37
3,16,21,24,37,41
3,16,22,24,30,36
3,16,22,28,32,36
3,16,22,30,32,43
3,16,24,29,31,41
3,16,27,30,32,43
3,16,31,37,40,41
3,17,20,29,36,40
3,17,22,24,32,35
3,17,22,35,36,40
3,17,24,28,36,40
3,17,24,30,32,40
3,17,27,32,36,41
3,17,30,32,34,40
3,20,21,32,34,43
3,20,22,24,34,40
3,20,22,27,28,32
3,20,24,27,35,36
3,20,24,29,36,37
3,20,24,30,31,35
3,20,24,31,34,41
3,20,24,34,40,41
3,20,28,31,33,43
3,20,30,33,41,43
3,20,31,32,37,41
3,20,33,34,41,43
3,21,22,27,30,43
3,21,22,28,34,37
3,21,24,27,35,36
3,21,27,32,33,43
3,21,28,33,35,36
3,21,30,32,33,40
3,21,31,33,40,41
3,21,31,33,41,43
3,21,33,35,41,43
3,22,24,32,36,41
3,22,27,28,32,33
3,22,27,32,34,40
3,22,27,34,36,40
3,22,28,31,33,35
3,22,30,34,36,43
3,22,32,33,40,41
3,22,32,34,40,43
3,24,27,31,34,43
3,24,27,34,35,36
3,24,28,30,31,33
3,24,28,30,33,34
3,24,30,31,35,36
3,24,31,32,35,36
3,24,31,35,36,40
3,27,28,34,36,40
5,7,8,14,33,34
5,7,8,16,22,33
5,7,8,16,24,32
5,7,8,17,20,40
5,7,12,20,33,34
5,7,12,24,34,40
5,7,12,30,33,34
5,7,12,33,34,35
5,7,14,22,31,36
5,7,14,22,35,40
5,7,14,28,30,41
5,7,14,29,30,32
5,7,14,30,32,37
5,7,16,17,22,37
5,7,16,28,30,37
5,7,16,30,32,37
5,7,17,20,32,43
5,7,17,20,36,40
5,7,17,24,32,37
5,7,17,24,32,41
5,7,17,27,36,40
5,7,20,24,30,32
5,7,20,32,35,40
5,7,21,22,35,40
5,7,21,30,32,34
5,7,22,31,33,36
5,7,22,31,35,41
5,7,24,30,32,37
5,7,24,32,35,37
5,7,28,30,34,40
5,7,30,32,33,34
5,8,10,12,35,40
5,8,10,22,27,28
5,8,10,24,32,37
5,8,12,14,35,41
5,8,12,21,31,40
5,8,14,16,22,33
5,8,14,17,28,32
5,8,14,24,33,35
5,8,14,30,33,34
5,8,14,33,34,40
5,8,16,21,24,28
5,8,16,21,32,43
5,8,16,32,36,43
5,8,17,24,32,41
5,8,17,29,37,41
5,8,20,30,37,41
5,8,20,37,40,41
5,8,21,24,40,43
5,8,22,24,30,33
5,8,22,28,33,43
5,8,24,28,34,43
5,8,27,28,29,43
5,8,27,31,34,43
5,8,27,32,33,36
5,8,28,32,40,43
5,8,28,33,36,43
5,8,30,32,37,43
5,8,32,34,37,41
5,10,12,17,24,40
5,10,12,32,34,37
5,10,12,32,35,36
5,10,12,35,37,40
5,10,14,16,20,27
5,10,14,16,27,41
5,10,14,17,20,29
5,10,14,21,31,36
5,10,16,20,21,24
5,10,16,20,24,27
5,10,16,20,36,43
5,10,16,24,32,34
5,10,21,28,31,33
5,10,21,30,33,40
5,10,31,35,36,37
5,10,32,34,40,41
5,12,14,17,35,41
5,12,14,21,31,43
5,12,14,22,24,30
5,12,14,30,35,40
5,12,16,29,30,43
5,12,17,20,32,37
5,12,17,24,35,41
5,12,21,22,27,34
5,12,24,27,37,41
5,12,27,29,34,41
5,12,27,29,41,43
5,12,27,30,34,40
5,12,27,33,41,43
5,12,30,31,34,40
5,12,30,34,36,43
5,12,32,33,34,40
5,14,16,30,33,34
5,14,17,27,29,35
5,14,20,22,24,43
5,14,21,22,24,31
5,14,21,27,31,33
5,14,21,30,41,43
5,14,24,30,32,34
5,14,27,33,34,40
5,14,28,29,34,41
5,16,17,21,22,37
5,16,17,21,36,37
5,16,17,22,29,32
5,16,17,28,30,43
5,16,17,29,32,36
5,16,21,31,34,37
5,16,21,32,33,35
5,16,22,28,32,35
5,17,20,32,37,40
5,17,20,36,40,41
5,17,20,37,40,41
5,17,21,22,28,32
5,17,21,22,34,36
5,17,21,30,31,36
5,17,22,27,33,40
5,17,27,32,40,41
5,20,22,31,35,41
5,20,24,33,35,43
5,20,27,31,35,41
5,20,27,33,35,43
5,20,29,36,37,41
5,20,31,37,40,41
5,21,24,34,35,36
5,21,27,28,34,36
5,21,28,30,34,36
5,21,30,32,34,43
5,21,31,36,37,43
5,22,29,30,36,37
5,22,34,35,36,41
5,27,29,36,37,41
5,27,31,35,36,41
5,29,36,37,41,43
5,30,32,34,40,43
7,8,10,14,29,34
7,8,12,16,20,30
7,8,12,28,29,41
7,8,14,17,21,41
7,8,14,17,22,33
7,8,14,22,31,33
7,8,14,24,34,36
7,8,16,20,27,33
7,8,16,22,29,37
7,8,16,22,33,37
7,8,17,24,32,33
7,8,17,34,37,43
7,8,21,22,28,40
7,8,22,24,32,43
7,8,22,28,40,43
7,8,24,27,32,43
7,8,27,31,37,43
7,8,27,35,36,37
7,8,27,35,37,41
7,8,34,37,41,43
7,10,12,14,28,43
7,10,12,17,27,36
7,10,12,20,21,35
7,10,12,21,33,43
7,10,12,22,24,29
7,10,12,30,34,41
7,10,14,20,27,35
7,10,14,27,34,40
7,10,16,20,27,40
7,10,16,22,29,41
7,10,16,28,41,43
7,10,16,29,33,40
7,10,16,36,37,43
7,10,16,36,40,43
7,10,17,20,30,32
7,10,17,20,30,34
7,10,17,20,34,35
7,10,17,20,34,37
7,10,20,21,34,36
7,10,20,21,35,41
7,10,20,24,30,34
7,10,20,27,34,35
7,10,21,24,32,41
7,10,21,35,40,41
7,10,24,30,31,34
7,10,24,31,35,41
7,10,29,32,33,41
7,10,30,31,35,41
7,10,32,33,37,41
7,12,16,28,33,34
7,12,20,21,30,31
7,12,20,24,29,31
7,12,20,29,34,37
7,12,29,30,34,37
7,12,30,34,41,43
7,12,30,37,41,43
7,14,16,20,34,41
7,14,16,33,35,43
7,14,20,30,34,40
7,14,20,34,41,43
7,14,22,27,32,37
7,14,22,31,33,35
7,14,27,30,32,34
7,14,32,36,37,41
7,16,17,20,32,40
7,16,20,27,34,40
7,16,20,29,34,41
7,16,20,30,33,35
7,16,21,29,34,35
7,16,22,31,35,41
7,16,24,31,33,41
7,16,28,29,30,37
7,16,28,29,31,34
7,16,30,33,34,37
7,17,20,21,31,32
7,17,20,28,29,30
7,17,20,29,30,34
7,17,21,24,35,43
7,17,21,27,36,40
7,17,22,24,31,32
7,17,22,24,32,37
7,17,22,24,33,35
7,17,22,31,33,35
7,17,22,31,35,41
7,20,21,24,34,35
7,20,21,29,30,31
7,20,22,24,31,36
7,20,22,30,31,43
7,20,24,27,35,41
7,20,24,31,34,36
7,20,27,30,34,35
7,21,22,28,30,43
7,21,22,28,34,43
7,21,22,32,41,43
7,21,24,31,35,41
7,21,27,31,37,41
7,21,28,35,41,43
7,21,29,31,35,43
7,21,33,37,40,41
7,21,35,37,41,43
7,22,24,31,32,36
7,22,28,40,41,43
7,22,30,32,34,35
7,22,31,32,34,35
7,22,32,37,40,41
7,22,32,37,40,43
7,24,27,32,41,43
7,24,28,35,37,43
7,24,29,31,35,41
7,27,30,31,35,37
7,27,30,34,37,40
7,27,33,34,35,40
7,28,30,32,33,35
7,28,32,34,37,40
7,29,31,37,40,43
7,30,31,33,34,43
8,10,12,17,21,31
8,10,12,21,28,31
8,10,14,16,33,37
8,10,14,17,32,41
8,10,14,24,32,43
8,10,14,31,34,43
8,10,16,21,24,32
8,10,16,24,32,37
8,10,17,22,35,36
8,10,20,22,27,29
8,10,20,22,30,34
8,10,20,27,35,36
8,10,20,30,34,43
8,10,21,31,33,40
8,10,27,35,37,40
8,10,30,34,40,41
8,10,31,34,36,40
8,12,14,24,34,41
8,12,14,29,30,41
8,12,16,20,37,40
8,12,16,22,27,31
8,12,17,24,30,36
8,12,17,34,36,37
8,12,17,36,37,41
8,12,20,22,27,43
8,12,20,28,36,43
8,12,21,28,34,40
8,12,21,29,31,40
8,12,24,29,35,41
8,12,24,30,33,36
8,12,24,30,34,36
8,12,28,29,36,37
8,12,28,33,36,37
8,14,16,17,35,37
8,14,16,20,22,32
8,14,16,20,27,29
8,14,16,20,30,37
8,14,16,21,22,36
8,14,17,20,27,29
8,14,17,21,22,43
8,14,17,28,32,37
8,14,17,32,37,41
8,14,17,37,40,41
8,14,20,27,33,34
8,14,22,28,32,36
8,14,24,31,34,37
8,14,24,31,34,41
8,14,24,32,35,36
8,14,27,28,41,43
8,16,17,20,21,22
8,16,17,20,22,33
8,16,17,20,27,30
8,16,17,28,32,37
8,16,17,31,35,37
8,16,20,21,30,40
8,16,20,22,24,32
8,16,20,24,32,34
8,16,20,27,28,31
8,16,20,27,28,35
8,16,20,27,31,33
8,16,20,28,37,40
8,16,20,30,34,40
8,16,21,29,36,43
8,16,21,30,33,36
8,16,22,24,30,43
8,16,22,24,32,34
8,16,22,28,31,41
8,16,24,29,30,36
8,16,28,30,34,40
8,16,29,30,35,43
8,16,29,31,36,43
8,16,30,34,36,43
8,16,32,34,37,40
8,17,20,27,34,40
8,17,21,22,28,43
8,17,21,24,27,33
8,17,21,24,33,35
8,17,21,24,36,40
8,17,21,29,40,43
8,17,21,31,36,43
8,17,22,35,36,41
8,17,24,33,35,43
8,17,24,35,37,43
8,17,29,35,37,41
8,20,21,32,35,36
8,20,22,24,30,40
8,20,24,30,31,34
8,20,27,29,32,35
8,20,27,30,34,41
8,20,29,30,31,34
8,21,22,24,32,36
8,21,22,28,30,34
8,21,27,29,31,33
8,21,28,29,40,41
8,21,28,30,36,40
8,21,30,34,40,41
8,21,31,32,33,41
8,21,31,32,36,43
8,22,24,31,33,40
8,22,27,29,41,43
8,22,27,30,32,34
8,22,27,31,33,43
8,22,32,33,34,40
8,24,31,35,40,41
8,24,35,37,41,43
8,27,29,30,37,41
8,27,33,40,41,43
8,27,35,36,40,43
8,28,31,37,40,43
8,28,33,40,41,43
8,29,30,32,37,41
8,29,32,33,36,37
8,29,32,33,36,41
8,29,33,35,40,41
8,33,34,40,41,43
10,12,14,16,17,33
10,12,14,16,27,36
10,12,14,16,27,41
10,12,14,20,21,30
10,12,14,21,22,34
10,12,16,17,24,32
10,12,17,24,36,40
10,12,17,27,28,34
10,12,17,28,31,43
10,12,17,32,36,41
10,12,20,27,31,35
10,12,20,31,34,35
10,12,21,28,31,35
10,12,22,27,32,43
10,12,24,28,35,40
10,12,24,30,32,37
10,12,27,35,37,40
10,12,28,29,30,43
10,12,28,29,35,40
10,12,32,33,34,40
10,14,16,17,27,41
10,14,16,20,21,27
10,14,16,20,27,29
10,14,16,21,27,36
10,14,16,27,29,41
10,14,16,27,33,41
10,14,16,27,36,41
10,14,16,27,37,41
10,14,16,28,33,37
10,14,16,28,40,43
10,14,16,31,33,43
10,14,16,31,37,40
10,14,20,28,32,40
10,14,20,31,33,35
10,14,21,31,35,43
10,14,22,28,30,43
10,14,27,30,31,43
10,16,17,31,34,36
10,16,21,22,24,32
10,16,21,24,28,34
10,16,21,24,30,32
10,16,21,24,32,41
10,16,21,27,29,37
10,16,22,24,27,35
10,16,27,29,34,41
10,16,28,30,32,41
10,16,28,30,35,43
10,17,21,24,27,28
10,17,21,24,29,43
10,17,22,34,35,37
10,17,24,28,35,37
10,20,21,28,31,37
10,20,21,30,32,34
10,20,21,31,35,41
10,20,21,33,35,37
10,20,21,34,36,41
10,20,22,28,34,37
10,20,22,35,37,40
10,20,28,30,32,43
10,20,28,35,36,37
10,20,29,32,36,37
10,20,30,31,33,41
10,20,30,33,37,41
10,20,33,35,37,40
10,20,35,36,37,41
10,21,22,27,31,41
10,21,24,33,35,41
10,21,27,29,41,43
10,21,28,35,37,40
10,21,29,33,41,43
10,22,24,30,32,36
10,22,24,30,34,35
10,22,27,31,32,34
10,22,27,32,36,43
10,22,28,29,32,40
10,22,28,36,37,40
10,24,30,32,33,43
10,24,31,33,34,40
10,27,28,35,40,41
10,27,36,37,40,41
10,28,30,35,40,43
12,14,16,20,24,31
12,14,17,21,27,33
12,14,17,21,29,41
12,14,17,21,32,43
12,14,17,21,35,41
12,14,17,28,35,43
12,14,20,24,28,30
12,14,21,28,32,35
12,14,22,24,34,41
12,14,22,28,32,34
12,14,22,37,40,43
12,14,24,30,31,35
12,14,24,34,36,41
12,14,27,28,33,34
12,14,28,30,35,40
12,14,28,30,36,43
12,14,28,32,33,34
12,16,17,21,22,34
12,16,17,22,24,32
12,16,17,22,35,36
12,16,17,24,28,36
12,16,17,30,32,41
12,16,20,22,24,28
12,16,20,22,28,35
12,16,20,24,30,41
12,16,20,27,34,37
12,16,20,29,34,37
12,16,20,31,34,35
12,16,21,28,31,43
12,16,22,24,27,29
12,16,22,31,35,43
12,16,29,36,40,41
12,16,30,37,41,43
12,17,21,28,31,35
12,17,22,24,28,34
12,17,22,32,36,43
12,17,22,34,35,41
12,17,24,27,28,36
12,17,24,30,32,37
12,17,24,34,41,43
12,17,27,28,31,35
12,17,27,29,35,37
12,17,27,31,35,43
12,17,27,33,37,43
12,17,28,31,33,40
12,20,21,34,36,43
12,20,22,31,41,43
12,20,24,27,28,36
12,20,24,35,37,41
12,20,27,31,32,35
12,20,30,31,33,34
12,21,27,28,29,35
12,21,31,33,34,36
12,22,27,35,36,43
12,22,27,35,41,43
12,22,34,35,41,43
12,24,27,29,32,33
12,24,29,34,35,36
12,27,30,31,35,43
12,27,33,40,41,43
12,29,34,35,36,43
12,29,34,35,37,43
12,30,32,34,41,43
14,16,17,22,30,31
14,16,17,27,29,33
14,16,20,27,31,34
14,16,20,27,34,37
14,16,20,28,33,37
14,16,20,29,34,37
14,16,20,30,34,40
14,16,20,33,34,43
14,16,21,30,40,43
14,16,22,24,30,35
14,16,22,27,31,34
14,16,22,28,35,37
14,16,22,30,31,43
14,16,22,30,32,40
14,16,22,31,34,40
14,16,27,28,30,34
14,16,27,29,36,40
14,16,27,31,34,41
14,17,20,31,36,40
14,17,21,28,30,41
14,17,21,28,37,40
14,17,22,24,32,40
14,17,22,27,35,36
14,17,22,32,36,43
14,17,27,31,34,36
14,17,28,31,32,34
14,17,28,36,37,43
14,17,29,32,35,40
14,17,29,33,37,41
14,17,30,31,34,36
14,17,33,34,37,41
14,20,21,22,34,40
14,20,21,24,27,36
14,20,22,28,30,43
14,20,27,28,29,43
14,20,27,32,35,36
14,20,29,30,33,40
14,20,30,31,33,40
14,20,30,31,35,36
14,20,33,34,37,43
14,21,22,33,36,37
14,21,24,31,41,43
14,21,27,32,33,43
14,21,27,32,36,43
14,21,29,31,34,36
14,22,24,29,32,36
14,22,27,30,31,35
14,22,27,31,32,34
14,22,27,31,35,41
14,22,28,30,34,43
14,22,28,32,34,37
14,22,28,32,34,40
14,22,29,30,33,35
14,22,31,32,34,40
14,22,31,36,40,43
14,22,35,37,40,43
14,24,28,31,35,41
14,24,29,32,37,40
14,24,32,35,36,37
14,27,28,31,33,43
14,27,30,32,33,43
14,28,30,34,35,43
14,28,32,33,34,43
14,31,35,36,40,43
14,32,33,36,41,43
16,17,20,24,28,32
16,17,21,22,32,37
16,17,21,28,32,35
16,17,22,27,29,33
16,17,22,31,32,34
16,17,27,28,33,36
16,17,27,29,33,34
16,17,27,33,34,36
16,17,28,30,36,41
16,17,28,32,34,37
16,17,29,33,37,40
16,17,30,31,34,36
16,20,21,34,37,40
16,20,28,32,36,37
16,20,28,35,36,37
16,21,22,24,28,36
16,21,22,28,35,40
16,21,24,28,34,41
16,21,24,32,33,40
16,21,27,28,34,41
16,21,28,30,33,41
16,21,29,32,36,37
16,21,29,36,37,43
16,21,31,32,33,40
16,22,24,27,28,34
16,22,27,28,33,35
16,22,27,31,34,41
16,22,28,30,34,43
16,22,30,31,37,41
16,27,32,34,40,41
16,28,30,31,40,41
16,28,30,32,33,41
16,28,31,36,40,41
16,29,30,35,36,43
16,30,33,34,37,40
16,31,32,34,36,40
16,33,34,35,37,40
17,20,21,22,24,31
17,20,21,29,30,32
17,20,24,28,32,36
17,20,29,36,40,41
17,20,30,33,41,43
17,20,34,35,41,43
17,21,27,31,36,37
17,21,28,31,35,36
17,21,30,31,36,43
17,21,32,33,40,43
17,22,24,28,35,43
17,22,24,35,41,43
17,22,27,31,35,36
17,22,27,32,34,40
17,22,28,29,30,43
17,22,28,29,31,41
17,22,28,32,33,43
17,22,29,30,41,43
17,22,29,36,37,43
17,24,36,37,40,43
17,27,29,32,36,41
17,27,29,32,40,41
17,27,29,34,36,37
17,27,30,31,34,36
20,21,22,27,29,43
20,21,22,27,30,43
20,21,24,31,36,40
20,21,28,30,32,34
20,21,28,34,36,37
20,22,24,27,31,35
20,22,27,31,33,37
20,22,28,31,36,40
20,24,27,28,37,43
20,24,30,31,34,43
20,24,30,32,37,41
20,24,31,33,34,36
20,24,31,34,41,43
20,24,33,35,37,43
20,29,32,34,35,43
21,22,27,28,35,40
21,22,27,31,33,43
21,22,27,31,35,43
21,22,27,31,37,43
21,22,27,32,33,40
21,22,30,31,33,43
21,24,27,29,30,33
21,24,27,31,40,41
21,24,28,35,36,41
21,24,29,30,31,33
21,24,30,33,36,43
21,24,31,32,33,41
21,24,31,33,41,43
21,24,33,36,37,43
21,27,28,29,33,43
21,30,33,34,40,41
22,24,27,30,32,43
22,24,29,32,35,36
22,27,30,32,35,43
22,27,31,32,34,35
22,27,31,32,34,40
22,28,29,32,35,40
22,29,32,34,40,41
22,33,34,35,40,43
24,27,28,34,35,37
24,27,33,36,37,43
24,28,29,30,35,41
24,28,30,31,36,43
24,30,31,32,37,40
24,31,33,34,35,41
24,31,33,34,36,40
24,33,34,35,41,43
24,33,36,40,41,43
24,34,35,36,40,41
27,28,34,35,40,41
27,29,32,34,40,41
28,34,35,40,41,43
32,36,37,40,41,43
